dosya_adi;klasor;karakter_sayisi;kelime_sayisi
FM01.md;matematik-fizik_cleaned;21362;2677
FM02.md;matematik-fizik_cleaned;19892;2763
FM03.md;matematik-fizik_cleaned;17930;3161
FM04.md;matematik-fizik_cleaned;13293;2912
FM05.md;matematik-fizik_cleaned;13584;2247
FM06.md;matematik-fizik_cleaned;11861;2428
FM07.md;matematik-fizik_cleaned;28261;3353
FM08.md;matematik-fizik_cleaned;15325;2132
FM09.md;matematik-fizik_cleaned;22800;3228
FM10.md;matematik-fizik_cleaned;34393;5223
FM11.md;matematik-fizik_cleaned;23946;3153
FM12.md;matematik-fizik_cleaned;18112;2468
FM13.md;matematik-fizik_cleaned;10697;2459
FM14.md;matematik-fizik_cleaned;14764;2617
FM15.md;matematik-fizik_cleaned;19519;2820
FM16.md;matematik-fizik_cleaned;24154;3992
FM17.md;matematik-fizik_cleaned;20592;3896
FM18.md;matematik-fizik_cleaned;19339;3093
FM19.md;matematik-fizik_cleaned;12551;2130
FM20.md;matematik-fizik_cleaned;15072;2689
FM21.md;matematik-fizik_cleaned;13583;2247
FM22.md;matematik-fizik_cleaned;13292;2912
FM23.md;matematik-fizik_cleaned;23787;3051
FM24.md;matematik-fizik_cleaned;20472;2742
FM26.md;matematik-fizik_cleaned;22851;2805
FM27.md;matematik-fizik_cleaned;21406;3020
FM28.md;matematik-fizik_cleaned;24920;3061
FM29.md;matematik-fizik_cleaned;24679;3215
FM30.md;matematik-fizik_cleaned;38831;4747
FM31.md;matematik-fizik_cleaned;27867;3311
FM32.md;matematik-fizik_cleaned;17875;2425
FM33.md;matematik-fizik_cleaned;10966;1351
FM34.md;matematik-fizik_cleaned;27330;3486
FM35.md;matematik-fizik_cleaned;17196;2593
FM36.md;matematik-fizik_cleaned;26788;5522
FM37.md;matematik-fizik_cleaned;13553;1725
FM38.md;matematik-fizik_cleaned;12370;1607
FM40.md;matematik-fizik_cleaned;23360;2973
FM41.md;matematik-fizik_cleaned;19290;2545
FM42.md;matematik-fizik_cleaned;15487;2006
FM43.md;matematik-fizik_cleaned;15767;2016
FM44.md;matematik-fizik_cleaned;32500;3957
FM45.md;matematik-fizik_cleaned;23921;2942
FM46.md;matematik-fizik_cleaned;17644;2089
FM47.md;matematik-fizik_cleaned;33936;3789
FM48.md;matematik-fizik_cleaned;48006;5665
FM49.md;matematik-fizik_cleaned;19888;2619
FM50.md;matematik-fizik_cleaned;40806;4741
m01.md;ml-ai_cleaned;15773;1937
m02.md;ml-ai_cleaned;25081;3176
m03.md;ml-ai_cleaned;64519;8311
m04.md;ml-ai_cleaned;14192;1768
m05.md;ml-ai_cleaned;16232;2078
m06.md;ml-ai_cleaned;36215;4639
m07.md;ml-ai_cleaned;14778;1814
m08.md;ml-ai_cleaned;28537;3638
m09.md;ml-ai_cleaned;11877;1415
m10.md;ml-ai_cleaned;31145;3802
m11.md;ml-ai_cleaned;31089;3555
m12.md;ml-ai_cleaned;14714;1806
m13.md;ml-ai_cleaned;23810;3082
m14.md;ml-ai_cleaned;34472;4299
m15.md;ml-ai_cleaned;18819;2281
m16.md;ml-ai_cleaned;24165;3064
m17.md;ml-ai_cleaned;44167;5482
m18.md;ml-ai_cleaned;26137;3296
m19.md;ml-ai_cleaned;15857;2041
m20.md;ml-ai_cleaned;19846;2492
m21.md;ml-ai_cleaned;46686;5853
m22.md;ml-ai_cleaned;39658;4904
m23.md;ml-ai_cleaned;57347;7384
m24.md;ml-ai_cleaned;76117;9311
m25.md;ml-ai_cleaned;18896;2340
m26.md;ml-ai_cleaned;43581;5522
m27.md;ml-ai_cleaned;51132;6454
m28.md;ml-ai_cleaned;16411;2051
m29.md;ml-ai_cleaned;43518;5326
m30.md;ml-ai_cleaned;15482;1901
m31.md;ml-ai_cleaned;27959;3462
m32.md;ml-ai_cleaned;20393;2555
m33.md;ml-ai_cleaned;17533;2117
m34.md;ml-ai_cleaned;25714;3143
m35.md;ml-ai_cleaned;32806;4293
m36.md;ml-ai_cleaned;26915;3369
m37.md;ml-ai_cleaned;18815;2174
m38.md;ml-ai_cleaned;56222;7018
m39.md;ml-ai_cleaned;23989;2960
m40.md;ml-ai_cleaned;12189;1472
m41.md;ml-ai_cleaned;62796;7985
m42.md;ml-ai_cleaned;54402;6750
m43.md;ml-ai_cleaned;26645;3420
m44.md;ml-ai_cleaned;19842;2492
m45.md;ml-ai_cleaned;23643;3035
