kategori;orijinal_pdf_yolu;hedef_txt_yolu;sayfa_sayisi;karakter_sayisi
ml-ai;data\raw\ml-ai\m01.pdf;data\processed\stage1_extracted\ml-ai\m01.txt;6;21245
ml-ai;data\raw\ml-ai\m02.pdf;data\processed\stage1_extracted\ml-ai\m02.txt;13;34313
ml-ai;data\raw\ml-ai\m03.pdf;data\processed\stage1_extracted\ml-ai\m03.txt;19;72384
ml-ai;data\raw\ml-ai\m04.pdf;data\processed\stage1_extracted\ml-ai\m04.txt;9;22404
ml-ai;data\raw\ml-ai\m05.pdf;data\processed\stage1_extracted\ml-ai\m05.txt;8;20679
ml-ai;data\raw\ml-ai\m06.pdf;data\processed\stage1_extracted\ml-ai\m06.txt;16;56872
ml-ai;data\raw\ml-ai\m07.pdf;data\processed\stage1_extracted\ml-ai\m07.txt;6;19960
ml-ai;data\raw\ml-ai\m08.pdf;data\processed\stage1_extracted\ml-ai\m08.txt;14;50662
ml-ai;data\raw\ml-ai\m09.pdf;data\processed\stage1_extracted\ml-ai\m09.txt;6;18016
ml-ai;data\raw\ml-ai\m10.pdf;data\processed\stage1_extracted\ml-ai\m10.txt;12;44383
ml-ai;data\raw\ml-ai\m11.pdf;data\processed\stage1_extracted\ml-ai\m11.txt;11;43493
ml-ai;data\raw\ml-ai\m12.pdf;data\processed\stage1_extracted\ml-ai\m12.txt;4;20878
ml-ai;data\raw\ml-ai\m13.pdf;data\processed\stage1_extracted\ml-ai\m13.txt;9;34119
ml-ai;data\raw\ml-ai\m14.pdf;data\processed\stage1_extracted\ml-ai\m14.txt;11;56039
ml-ai;data\raw\ml-ai\m15.pdf;data\processed\stage1_extracted\ml-ai\m15.txt;4;24795
ml-ai;data\raw\ml-ai\m16.pdf;data\processed\stage1_extracted\ml-ai\m16.txt;11;34224
ml-ai;data\raw\ml-ai\m17.pdf;data\processed\stage1_extracted\ml-ai\m17.txt;15;63062
ml-ai;data\raw\ml-ai\m18.pdf;data\processed\stage1_extracted\ml-ai\m18.txt;24;51076
ml-ai;data\raw\ml-ai\m19.pdf;data\processed\stage1_extracted\ml-ai\m19.txt;16;92672
ml-ai;data\raw\ml-ai\m20.pdf;data\processed\stage1_extracted\ml-ai\m20.txt;16;92672
ml-ai;data\raw\ml-ai\m21.pdf;data\processed\stage1_extracted\ml-ai\m21.txt;24;63519
ml-ai;data\raw\ml-ai\m22.pdf;data\processed\stage1_extracted\ml-ai\m22.txt;11;38981
